fecha;provincia;casos_confirmados;nuevos_positivos;altas;fallecimientos;codigo_ine;Posicion
2023-09-04;León;152485;103;10686;1758;24089;42.666667,-6.0
2023-09-04;Palencia;68629;35;4546;764;34120;42.432128,-4.520647
2023-09-04;Segovia;52563;20;3027;489;40004;41.166667,-4.0
2023-09-04;Soria;35629;29;2317;398;42173;41.666667,-2.666667
2023-09-03;Ávila;57692;20;3802;657;5019;40.616092,-4.929031
2023-09-03;Burgos;130596;21;8403;1199;9059;42.383333,-3.666667
2023-09-03;Salamanca;120284;24;7628;1286;37274;40.833333,-6.0
2023-09-03;Segovia;52543;12;3027;489;40004;41.166667,-4.0
2023-09-03;Valladolid;198632;26;13491;1799;47186;41.583333,-4.666667
2023-09-03;León;152382;50;10685;1758;24089;42.666667,-6.0
2023-09-03;Soria;35600;9;2316;398;42173;41.666667,-2.666667
2023-09-03;Zamora;59437;13;4277;763;49275;41.75,-6.0
2023-09-03;Palencia;68594;22;4546;764;34120;42.432128,-4.520647
2023-09-02;Soria;35591;12;2316;398;42173;41.666667,-2.666667
2023-09-02;Zamora;59424;16;4276;763;49275;41.75,-6.0
2023-09-02;Ávila;57672;15;3801;656;5019;40.616092,-4.929031
2023-09-02;Palencia;68572;19;4546;764;34120;42.432128,-4.520647
2023-09-02;Segovia;52531;24;3027;489;40004;41.166667,-4.0
2023-09-02;Burgos;130575;27;8399;1199;9059;42.383333,-3.666667
2023-09-02;León;152332;44;10684;1758;24089;42.666667,-6.0
2023-09-02;Salamanca;120260;34;7628;1285;37274;40.833333,-6.0
2023-09-02;Valladolid;198606;36;13490;1798;47186;41.583333,-4.666667
2023-09-01;Salamanca;120226;40;7620;1285;37274;40.833333,-6.0
2023-09-01;Ávila;57657;56;3801;656;5019;40.616092,-4.929031
2023-09-01;Burgos;130548;50;8389;1198;9059;42.383333,-3.666667
2023-09-01;Palencia;68553;35;4544;764;34120;42.432128,-4.520647
2023-09-01;Soria;35579;14;2316;398;42173;41.666667,-2.666667
2023-09-01;León;152288;90;10679;1757;24089;42.666667,-6.0
2023-09-01;Segovia;52507;37;3026;489;40004;41.166667,-4.0
2023-09-01;Valladolid;198570;75;13478;1796;47186;41.583333,-4.666667
2023-09-01;Zamora;59408;37;4275;763;49275;41.75,-6.0
2023-08-31;Ávila;57631;41;3797;656;5019;40.616092,-4.929031
2023-08-31;Palencia;68520;32;4542;764;34120;42.432128,-4.520647
2023-08-31;Burgos;130519;41;8380;1197;9059;42.383333,-3.666667
2023-08-31;Soria;35571;14;2313;398;42173;41.666667,-2.666667
2023-08-31;Valladolid;198373;64;13466;1796;47186;41.583333,-4.666667
2023-08-31;Zamora;59397;37;4271;763;49275;41.75,-6.0
2023-08-31;León;152214;88;10672;1756;24089;42.666667,-6.0
2023-08-31;Salamanca;120194;39;7611;1284;37274;40.833333,-6.0
2023-08-31;Segovia;52499;27;3022;489;40004;41.166667,-4.0
2023-08-30;Burgos;130478;41;8370;1197;9059;42.383333,-3.666667
2023-08-30;Palencia;68488;39;4541;764;34120;42.432128,-4.520647
2023-08-30;Soria;35557;19;2311;398;42173;41.666667,-2.666667
2023-08-30;Zamora;59360;43;4268;763;49275;41.75,-6.0
2023-08-30;Ávila;57590;37;3794;655;5019;40.616092,-4.929031
2023-08-30;León;152126;61;10671;1756;24089;42.666667,-6.0
2023-08-30;Salamanca;120155;58;7602;1283;37274;40.833333,-6.0
2023-08-30;Segovia;52472;41;3020;489;40004;41.166667,-4.0
2023-08-30;Valladolid;198309;79;13458;1796;47186;41.583333,-4.666667
2023-08-29;Segovia;52431;24;3019;488;40004;41.166667,-4.0
2023-08-29;Ávila;57553;49;3793;655;5019;40.616092,-4.929031
2023-08-29;León;152065;71;10668;1756;24089;42.666667,-6.0
2023-08-29;Palencia;68449;26;4539;764;34120;42.432128,-4.520647
2023-08-29;Salamanca;120097;40;7595;1283;37274;40.833333,-6.0
2023-08-29;Valladolid;198230;70;13445;1795;47186;41.583333,-4.666667
2023-08-29;Burgos;130437;35;8365;1196;9059;42.383333,-3.666667
2023-08-29;Soria;35538;16;2311;398;42173;41.666667,-2.666667
2023-08-29;Zamora;59317;27;4264;762;49275;41.75,-6.0
2023-08-28;Burgos;130402;45;8361;1195;9059;42.383333,-3.666667
